Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
35250,26554.474607110023,26563.020423054695,26564.99855220318,26572.974398732185,26582.473888993263
35420,282102.4954319,281493.30615997314,280745.9235191345,279768.1987285614,278809.1003894806
35600,16931.10354244709,16831.794753670692,16728.879883885384,16625.842079520226,16532.180830836296
35720,87882.43681192398,87516.1960721016,87144.6430683136,86773.03791046143,86438.59624862671
35760,117316.6036605835,116549.62599277496,115847.85580635071,115210.29472351074,114696.99442386627
35890,6061.7346316576,6060.609593987465,6059.41005051136,6057.998165488243,6056.437268853188
35900,57801.91719532013,57583.98771286011,57344.503700733185,57103.35820913315,56901.81255340576
36030,7101.299241185188,7099.347189068794,7096.918299794197,7093.796506524086,7090.369239449501
36460,42114.38447237015,42158.596217632294,42180.23270368576,42195.19346952438,42252.22021341324
36490,5657.026544213295,5657.026544213295,5657.026544213295,5657.026544213295,5657.026544213295
36540,7125.83027780056,7131.392136216164,7136.782631278038,7141.510024666786,7145.287469029427
36570,419671.505689621,421968.7581062317,424375.59366226196,426489.9790287018,428637.5343799591
36810,20448.757335543633,20349.064841866493,20255.34026324749,20160.03243625164,20070.811733603477
36830,26769.8522657156,26766.7006701231,26760.486885905266,26736.145839095116,26711.11561357975
36930,22232.620045542717,22214.66787159443,22162.461653351784,22071.44908607006,21943.816915154457
38500,6786.977872252464,6782.578304409981,6778.260692954063,6773.738190531731,6769.148632884026
39030,109394.05858516693,109417.64712333679,109324.79798793793,109170.61567306519,108921.39375209808
39200,25840.191170573235,25930.76415359974,26083.389297127724,26247.36912548542,26391.91783964634
39490,91143.73475313187,91082.27491378784,91110.42320728302,91205.23929595947,91297.83511161804
39840,33873.10355901718,33774.15984869003,33677.294850349426,33575.57952404022,33473.00738096237
41190,7384.8385363817215,7369.721308350563,7355.639711022377,7341.368123888969,7327.588275074959
41510,68429.79043722153,68591.59469604492,68680.21935224533,68687.28250265121,68680.03308773041
41960,7755.490019917488,7721.183821558952,7688.315585255623,7660.748437047005,7635.59527695179
42000,17581.487074494362,17462.851479649544,17351.219430565834,17247.358337044716,17150.437459349632
42660,23982.28831589222,23749.353364109993,23531.15566074848,23323.91031086445,23147.82328903675
42700,14427.995309233665,14419.781044125557,14406.980946660042,14384.357258677483,14357.881620526314
43150,38827.70985364914,38696.97451591492,38579.076528549194,38454.88280057907,38337.79692649841
46890,12400.755658745766,12365.715578198433,12328.261509537697,12289.946898818016,12252.85418331623
47040,7111.58849298954,7106.805220246315,7101.980969309807,7098.959758877754,7097.648456692696
47050,23027.16113626957,23004.34745848179,22975.42430460453,22960.195317864418,22964.322939515114
